"Notes"	"State"	"State Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	6441	3772020	170.8
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	8588	3828009	224.3
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	12548	3926994	319.5
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	18890	3972827	475.5
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	27649	3868559	714.7
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	36811	3512454	1048.0
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	44750	2984702	1499.3
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	51889	2443745	2123.3
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	60779	1921852	3162.5
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	70293	1460955	4811.4
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	75905	1013930	7486.2
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	70596	Not Applicable	Not Applicable
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	47176	Not Applicable	Not Applicable
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	18564	Not Applicable	Not Applicable
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	4506	Not Applicable	Not Applicable
	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	99	Not Applicable	Not Applicable
	"Missouri"	"29"	"Drug-induced causes"	"D"	"< 1 year"	"1"	10	1506402	Unreliable
	"Missouri"	"29"	"Drug-induced causes"	"D"	"1-4 years"	"1-4"	16	6046713	Unreliable
	"Missouri"	"29"	"Drug-induced causes"	"D"	"10-14 years"	"10-14"	23	8040949	0.3
	"Missouri"	"29"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	384	8249850	4.7
	"Missouri"	"29"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	1312	8211723	16.0
	"Missouri"	"29"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	1759	7741207	22.7
	"Missouri"	"29"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	1978	7599762	26.0
	"Missouri"	"29"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	2217	7739427	28.6
	"Missouri"	"29"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	2274	8047408	28.3
	"Missouri"	"29"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	2349	8270394	28.4
	"Missouri"	"29"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	2001	8121662	24.6
	"Missouri"	"29"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	1377	7393218	18.6
	"Missouri"	"29"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	682	6235101	10.9
	"Missouri"	"29"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	307	5087928	6.0
	"Missouri"	"29"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	138	4061232	3.4
	"Missouri"	"29"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	84	3207872	2.6
	"Missouri"	"29"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	91	2339430	3.9
	"Missouri"	"29"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	48	Not Applicable	Not Applicable
	"Missouri"	"29"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	23	Not Applicable	Not Applicable
	"Missouri"	"29"	"Drug-induced causes"	"D"	"95-99 years"	"95-99"	12	Not Applicable	Not Applicable
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	13	8249850	Unreliable
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	36	8211723	0.4
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	101	7741207	1.3
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	228	7599762	3.0
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	466	7739427	6.0
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	790	8047408	9.8
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	1259	8270394	15.2
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	1403	8121662	17.3
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	1389	7393218	18.8
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	1094	6235101	17.5
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	685	5087928	13.5
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	409	4061232	10.1
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	238	3207872	7.4
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	134	2339430	5.7
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	47	Not Applicable	Not Applicable
	"Missouri"	"29"	"Alcohol-induced causes"	"A"	"90-94 years"	"90-94"	14	Not Applicable	Not Applicable
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	10800	1506402	716.9
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	1917	6046713	31.7
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	1161	7735663	15.0
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	1511	8040949	18.8
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	5727	8249850	69.4
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	7644	8211723	93.1
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	7479	7741207	96.6
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	8486	7599762	111.7
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	11449	7739427	147.9
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	17279	8047408	214.7
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	27591	8270394	333.6
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	42262	8121662	520.4
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	57518	7393218	778.0
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	73335	6235101	1176.2
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	88877	5087928	1746.8
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	110451	4061232	2719.6
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	137468	3207872	4285.3
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	161141	2339430	6888.0
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	161385	Not Applicable	Not Applicable
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	116929	Not Applicable	Not Applicable
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	47397	Not Applicable	Not Applicable
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	10058	Not Applicable	Not Applicable
	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	47	Not Applicable	Not Applicable
	"Montana"	"30"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	42	1363219	3.1
	"Montana"	"30"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	135	1370467	9.9
	"Montana"	"30"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	183	1176394	15.6
	"Montana"	"30"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	227	1166499	19.5
	"Montana"	"30"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	269	1185853	22.7
	"Montana"	"30"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	316	1273890	24.8
	"Montana"	"30"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	345	1381106	25.0
	"Montana"	"30"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	314	1424900	22.0
	"Montana"	"30"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	202	1348610	15.0
	"Montana"	"30"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	131	1157890	11.3
	"Montana"	"30"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	73	928676	7.9
	"Montana"	"30"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	44	713636	6.2
	"Montana"	"30"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	26	542391	4.8
	"Montana"	"30"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	36	397112	9.1
	"Montana"	"30"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	29	Not Applicable	Not Applicable
	"Montana"	"30"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	22	1370467	1.6
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	35	1176394	3.0
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	96	1166499	8.2
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	167	1185853	14.1
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	255	1273890	20.0
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	366	1381106	26.5
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	496	1424900	34.8
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	473	1348610	35.1
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	421	1157890	36.4
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	240	928676	25.8
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	164	713636	23.0
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	107	542391	19.7
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	43	397112	10.8
	"Montana"	"30"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	20	Not Applicable	Not Applicable
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	1433	236287	606.5
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	309	949096	32.6
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	224	1219644	18.4
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	289	1284617	22.5
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	1046	1363219	76.7
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	1374	1370467	100.3
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	1304	1176394	110.8
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	1327	1166499	113.8
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	1683	1185853	141.9
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	2408	1273890	189.0
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	3746	1381106	271.2
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	5959	1424900	418.2
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	8505	1348610	630.6
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	10823	1157890	934.7
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	13324	928676	1434.7
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	16789	713636	2352.6
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	20802	542391	3835.2
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	25552	397112	6434.5
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	26734	Not Applicable	Not Applicable
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	19980	Not Applicable	Not Applicable
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	8118	Not Applicable	Not Applicable
	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	1619	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	44	2636357	1.7
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	110	2630864	4.2
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	157	2371916	6.6
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	202	2373095	8.5
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	269	2339410	11.5
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	280	2388394	11.7
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	307	2452482	12.5
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	293	2406501	12.2
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	240	2166095	11.1
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	130	1790166	7.3
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	78	1430314	5.5
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	38	1153941	3.3
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	65	951602	6.8
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	37	735484	5.0
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	31	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	22	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	43	2371916	1.8
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	80	2373095	3.4
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	142	2339410	6.1
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	232	2388394	9.7
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	386	2452482	15.7
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	465	2406501	19.3
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	438	2166095	20.2
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	404	1790166	22.6
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	278	1430314	19.4
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	180	1153941	15.6
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	108	951602	11.3
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	64	735484	8.7
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	34	Not Applicable	Not Applicable
	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	"90-94 years"	"90-94"	12	Not Applicable	Not Applicable
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	3055	511829	596.9
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	577	2033879	28.4
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	353	2520651	14.0
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	440	2545894	17.3
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	1507	2636357	57.2
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	1870	2630864	71.1
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	1643	2371916	69.3
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	1920	2373095	80.9
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	2557	2339410	109.3
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	3934	2388394	164.7
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	6032	2452482	246.0
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	9336	2406501	387.9
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	13055	2166095	602.7
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	16920	1790166	945.2
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	21222	1430314	1483.7
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	27404	1153941	2374.8
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	36230	951602	3807.3
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	46412	735484	6310.4
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	50612	Not Applicable	Not Applicable
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	39870	Not Applicable	Not Applicable
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	17582	Not Applicable	Not Applicable
	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	4041	Not Applicable	Not Applicable
	"Nevada"	"32"	"Drug-induced causes"	"D"	"10-14 years"	"10-14"	11	3487950	Unreliable
	"Nevada"	"32"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	212	3277523	6.5
	"Nevada"	"32"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	560	3369870	16.6
	"Nevada"	"32"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	769	3764659	20.4
	"Nevada"	"32"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	850	3735865	22.8
	"Nevada"	"32"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	985	3719937	26.5
	"Nevada"	"32"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	1317	3685554	35.7
	"Nevada"	"32"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	1450	3589128	40.4
	"Nevada"	"32"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	1457	3410820	42.7
	"Nevada"	"32"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	1053	3130065	33.6
	"Nevada"	"32"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	706	2729025	25.9
	"Nevada"	"32"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	354	2253033	15.7
	"Nevada"	"32"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	163	1705582	9.6
	"Nevada"	"32"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	96	1197621	8.0
	"Nevada"	"32"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	60	752107	8.0
	"Nevada"	"32"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	42	Not Applicable	Not Applicable
	"Nevada"	"32"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	14	Not Applicable	Not Applicable
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	19	3369870	Unreliable
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	66	3764659	1.8
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	171	3735865	4.6
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	309	3719937	8.3
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	527	3685554	14.3
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	919	3589128	25.6
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	1075	3410820	31.5
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	1092	3130065	34.9
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	906	2729025	33.2
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	635	2253033	28.2
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	377	1705582	22.1
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	211	1197621	17.6
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	100	752107	13.3
	"Nevada"	"32"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	42	Not Applicable	Not Applicable
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	4124	702674	586.9
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	844	2800268	30.1
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	438	3476400	12.6
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	593	3487950	17.0
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	1883	3277523	57.5
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	2867	3369870	85.1
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	3100	3764659	82.3
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	3576	3735865	95.7
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	4929	3719937	132.5
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	7252	3685554	196.8
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	11004	3589128	306.6
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	16551	3410820	485.2
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	23167	3130065	740.1
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	30850	2729025	1130.4
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	37798	2253033	1677.6
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	44323	1705582	2598.7
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	50069	1197621	4180.7
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	51710	752107	6875.4
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	44793	Not Applicable	Not Applicable
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	27254	Not Applicable	Not Applicable
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	9282	Not Applicable	Not Applicable
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	1567	Not Applicable	Not Applicable
	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	84	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	70	1828462	3.8
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	361	1652761	21.8
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	557	1469485	37.9
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	543	1583635	34.3
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	512	1769925	28.9
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	609	1983257	30.7
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	559	2092494	26.7
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	489	2051607	23.8
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	320	1824429	17.5
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	140	1476912	9.5
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	73	1147875	6.4
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	42	863868	4.9
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	30	657123	4.6
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	27	484900	5.6
	"New Hampshire"	"33"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	15	Not Applicable	Not Applicable
